id,investorName,investorType,city,country,sectors,stages,logoURL
598,Nolan Arenado,Angel,,,Blockchain,Series C,
599,Norm Francis,,Vancouver,Canada,FitnessTech,Seed,https://pbs.twimg.com/profile_images/1468078182733475841/3LgsLVYd_400x400.jpg
600,North Island Ventures,Venture Capital,New York,USA,Blockchain,"Series A, Series B",https://pbs.twimg.com/profile_images/1258545700360671232/sqedBmdl_400x400.jpg
601,North Star Agriculture,,,Canada,AgTech,Series A,
602,Northleaf Capital Partners,,Toronto,Canada,"HealthTech, LogisticsTech",Series B,
603,NorthSpring Capital Partners,"Micro VC, Venture Capital",Cambridge,Canada,"EdTech, HealthTech",Seed,
604,Notation Capital,,Brooklyn,USA,iOT,Seed,https://pbs.twimg.com/profile_images/1161004150798323712/2L3Iee1D_400x400.jpg
605,Novator,,London,United Kingdom,SaaS,Seed,
606,Nurture Ventures,Venture Capital,Wilmington,USA,FinTech,Seed,
607,Nvidia GPU Ventures,Venture Capital,Santa Clara,USA,Analytics,Series C,
608,Nyca Partners,Venture Capital,New York,USA,FinTech,Series A,https://pbs.twimg.com/profile_images/439122279553720320/EcHnTI_b_400x400.jpeg
609,Oak HC/FT,Venture Capital,Greenwich,USA,FinTech,Series C,https://pbs.twimg.com/profile_images/1045091749792796675/0fY3tTbD_400x400.jpg
610,OGCI Climate Investments,Venture Capital,London,United Kingdom,"Analytics, CleanTech","Series B, Series D",https://pbs.twimg.com/profile_images/918822190681870338/s0TiwFzD_400x400.jpg
611,Oji Udezue,,Austin,USA,SaaS,Seed,
612,Oleg Rogynskyy,,San Francisco,USA,"AI, CyberSecurity","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1295758715606376449/B91CN152_400x400.jpg
613,OMERS Growth Equity,"Private Equity Firm, Venture Capital",Toronto,Canada,SaaS,Series E,https://pbs.twimg.com/profile_images/1314022424531304450/LZKooX8k_400x400.jpg
614,OMERS Ventures,Venture Capital,Toronto,Canada,"AI, Analytics, AutoTech, Quantum, SaaS, eCommerce","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/1410983428179308546/_3j0OBkI_400x400.jpg
615,Ontario Brain Institute,,Toronto,Canada,"BioTech, FitnessTech","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1375164675659292683/fBTam55W_400x400.jpg
616,Ontario Centre of Innovation,,Toronto,Canada,BioTech,Seed,
617,Ontario Centres of Excellence,Angel Group,Toronto,Canada,"Analytics, HCI, HealthTech, RetailTech, Robotics, SaaS, agTech, eCommerce","Grant, Pre-Seed, Seed",
618,Ontario Teachers Pension Plan,,,Canada,"EdTech, Robotics","Series C, Series D",
619,Open Circle Capital,Venture Capital,Vilnius,Lithuania,TravelTech,"Pre-Seed, Seed",
620,OrbiMed,,New York,USA,"BioTech, healthTech","Series A, Series B",https://pbs.twimg.com/profile_images/745640417786531840/TBzwdcvY_400x400.jpg
621,Origin Ventures,Venture Capital,Chicago,USA,eCommerce,Series A,https://pbs.twimg.com/profile_images/819679024519794695/OlmSfTvs_400x400.jpg
622,Oscar Plag,Angel,,,CryptoCurrency,Seed,
623,Ospraie Ag Sciences,Venture Capital,New York,USA,AgTech,"Series B, Series C",
624,OW Toad,Angel,,,SaaS,Seed,
625,Paddock Capital,,Calgary,Canada,"FitnessTech, HealthTech","Seed, Series A",
626,Pallasite Ventures,Venture Capital,Chicago,USA,"BioTech, SaaS","Seed, Series A",
627,Pam Danroth,Angel,,,FinTech,Pre-Seed,
628,Panache Ventures,,Montréal,Canada,"3DTech, AI, AdTech, Analytics, BioTech, CleanTech, Consumer, CyberSecurity, DevTech, EdTech, FinTech, HealthTech, InsurTech, Platform, PropertyTech, SaaS, eCommerce","Pre-Seed, Seed, Series A",https://pbs.twimg.com/profile_images/903741808735391748/eehRmQRl_400x400.jpg
629,Pangaea Ventures,Venture Capital,Vancouver,Canada,BioTech,Series A,https://pbs.twimg.com/profile_images/1312070720927657984/K3qmi-Jf_400x400.jpg
630,ParaFi Capital,"Hedge Fund, Private Equity Firm, Venture Capital",Greenwich,USA,"Blockchain, FinTech","Pre-Seed, Seed, Series A, Series B",
631,Parent Project Muscular Dystrophy,,New Jersey,USA,Pharmaceutical,Grant,
632,Partnership Fund for New York City,,New York,USA,SaaS,"Series A, Series B",https://pbs.twimg.com/profile_images/1412393510486020096/dYuoAD-D_400x400.jpg
633,Parvizi Surgical Innovation,Venture Capital,Philadelphia,USA,HealthTech,,
634,Paul Geyer,,Vancouver,Canada,FitnessTech,Seed,
635,PenderFund Capital Management,Venture Capital,Vancouver,Canada,TravelTech,Series A,https://pbs.twimg.com/profile_images/492414049670295552/KwyO_QmN_400x400.jpeg
636,Peter Poka,Angel,,,CryptoCurrency,Seed,
637,Pi Labs,"Accelerator, Venture Capital",London,United Kingdom,AI,Series A,https://pbs.twimg.com/profile_images/1258016300309209088/30iktk3P_400x400.jpg
638,Picante Capital,,,Canada,HealthTech,Series A,
639,Pirata Capital Management,,,Cayman Islands,Blockchain,Series B,
640,PJC,Venture Capital,Boston,USA,AI,Seed,https://pbs.twimg.com/profile_images/1265743972925878276/Gf2k5ORP_400x400.png
641,Plaza Ventures,Venture Capital,Toronto,Canada,"EntertainmentTech, Marketplace, eCommerce","Series B, Series C",https://pbs.twimg.com/profile_images/992482320400699393/kDbs6Xq5_400x400.jpg
642,Plug and Play ,"Accelerator, Co-Working Space, Corporate Venture Capital, University Program, Venture Capital",Sunnyvale,USA,"AI, FinTech, Platform, SaaS","Pre-Seed, Series A, Series B",
643,Plymouth Growth,Venture Capital,Ann Arbor,USA,SaaS,Series A,https://pbs.twimg.com/profile_images/1237106005173063682/dZoyP5Pl_400x400.jpg
644,Pnyx Ventures,Venture Capital,,,Blockchain,"Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1314090264328249345/8haSJ04i_400x400.jpg
645,Polar Capital Management,,Toronto,Canada,FinTech,Series A,
646,Polychain,"Hedge Fund, Venture Capital",San Francisco,USA,Blockchain,"Pre-Seed, Seed, Series A",
647,Portage Ventures,Venture Capital,Toronto,Canada,"FinTech, HealthTech","Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1392445484950822913/-_Kthuih_400x400.jpg
648,Portico Ventures,Venture Capital,New York,USA,BlockChain,Seed,
651,Practica Capital,"Micro VC, Private Equity Firm, Venture Capital",Vilnius,Lithuania,TravelTech,"Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1370280760779870209/rR4PLlVQ_400x400.jpg
652,Primetime Partners,Venture Capital,New York,USA,FinTech,Series A,
654,Proeza Ventures,"Private Equity Firm, Venture Capital",Monterrey,Mexico,Platform,Seed,https://pbs.twimg.com/profile_images/1166824625482981376/RX8Gpeq__400x400.jpg
655,Prolog Ventures,Venture Capital,St Louis,USA,HealthTech,Series A,https://pbs.twimg.com/profile_images/378800000245748666/b879dbd5932e07a787c737ae26dbcc8d_400x400.jpeg
656,Propel(X),Venture Capital,San Francisco,USA,AI,Seed,https://pbs.twimg.com/profile_images/925822211432243200/W0KNdzPg_400x400.jpg
657,Protein Industries Canada,,Regina,Canada,Analytics,Seed,
658,Quantum Energy Partners,,Houston,USA,Analytics,Series A,
659,Quiet Capital,"Micro VC, Venture Capital",Seattle,USA,EdTech,Seed,
660,R-LABS Canada,,,Canada,,Seed,
661,RA Capital Management,Venture Capital,Boston,USA,healthTech,Series A,
662,Rabindra Shrestha,,Singapore,Singapore,Blockchain,Series B,https://pbs.twimg.com/profile_images/1239805652232318976/GEqykpYM_400x400.jpg
663,Radical Ventures,Venture Capital,Toronto,Canada,"AI, AutoTech, BioTech, FinTech, HealthTech, Quantum, SaaS","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/1125568781621665792/0dkX50T-_400x400.png
664,Rainfall Ventures,Venture Capital,Los Angeles,USA,Aerospace,Pre-Seed,https://pbs.twimg.com/profile_images/1159208761879216128/aAT4AtLT_400x400.jpg
665,Raiven Capital,Venture Capital,Toronto,Canada,eCommerce,Seed,
666,Ramen Ventures,"Angel Group, Venture Capital",Toronto,Canada,"AI, FinTech, HealthTech","Pre-Seed, Seed, Series B",https://pbs.twimg.com/profile_images/762978147146960896/gmSNfo9N_400x400.jpg
667,Rasool Rayani,,Victoria,Canada,"BlockChain, HealthTech",Seed,https://pbs.twimg.com/profile_images/1359339411465404417/kz_4BIAz_400x400.jpg
668,Raven Indigenous Capital Partners,"Private Equity Firm, Venture Capital",Vancouver,Canada,Marketplace,Seed,
669,RBC Capital,"Investment Bank, Venture Capital",Toronto,Canada,"FinTech, TravelTech","Series A, Series B",
670,Reach Capital,"Micro VC, Venture Capital",San Francisco,USA,EdTech,"Seed, Series B, Series C",https://pbs.twimg.com/profile_images/1201987708781879296/-9ycVMJl_400x400.jpg
671,Real Ventures,"Micro VC, Venture Capital",Montréal,Canada,"AI, AgTech, BioTech, CleanTech, DevTech, EdTech, FinTech, FoodTech, HRTech, Hardware, HealthTech, InsurTech, LegalTech, Marketplace, Misc, Platform, PropertyTech, Quantum, RetailTech, Robotics, SaaS, TransportationTech, eCommerce","Pre-Seed, Seed, Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1451208499682291721/xdYWGOls_400x400.png
672,Reciprocal Ventures,Venture Capital,New York,USA,"Data, FinTech","Series A, Series B",https://pbs.twimg.com/profile_images/1283477165179318272/Gg7rA_G6_400x400.jpg
673,Red Thread Ventures,"Micro VC, Venture Capital",Vancouver,Canada,"Hardware, HealthTech, LegalTech, Platform, Robotics","Pre-Seed, Seed",
675,Refinery Ventures,Venture Capital,Cincinnati,USA,"Data, MarTech","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/896098734416723968/IP8KNe8d_400x400.jpg
676,Regan Bozman,,San Francisco,USA,Blockchain,Seed,https://pbs.twimg.com/profile_images/1435767285659037696/atD0Lwt0_400x400.jpg
677,Relay Ventures,Venture Capital,Toronto,Canada,"LegalTech, MarTech, SaaS, TransportationTech","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/875374046866677761/RoEKSii__400x400.jpg
678,Relentless Pursuit Partners,Venture Capital,Vancouver,Canada,HealthTech,Series A,
679,Renewal Funds,Venture Capital,Vancouver,Canada,Marketplace,Series A,
680,Republic Labs,Venture Capital,New York,USA,Blockchain,Series B,
681,Resolute Ventures,,San Francisco,USA,Analytics,Seed,https://pbs.twimg.com/profile_images/1135583955539832832/i8rvYUQT_400x400.png
682,Resolve Growth Partners,,Baltimore,USA,HealthTech,Series A,
683,Rhino Ventures,,Vancouver,Canada,"BioTech, EdTech, VideoTech, Wearables",Series A,https://pbs.twimg.com/profile_images/926205307323166720/VAcrVyL5_400x400.jpg
684,Rhythm VC,Venture Capital,New York,USA,BioTech,Seed,
685,Rice Investment Group,Venture Capital,Carnegie,USA,Analytics,,
686,Right Side Capital Management,,San Francisco,USA,"AI, Hardware, LogisticsTech",Pre-Seed,
687,Ripple Ventures,,Toronto,Canada,"Analytics, DevTech, EdTech, HealthTech, LogisticsTech, SaaS","Pre-Seed, Seed, Series A",
688,Rob Goldman,,San Francisco,USA,EdTech,Seed,https://pbs.twimg.com/profile_images/922682720584531968/ukhi1Op4_400x400.jpg
689,Root Ventures,Venture Capital,San Francisco,USA,"SaaS, iOT",Seed,https://pbs.twimg.com/profile_images/817979503901184000/ltWsppol_400x400.jpg
690,Round13 Capital,Venture Capital,Toronto,Canada,"FinTech, Hardware, LegalTech, MarTech, Marketplace, NanoTech, Networks, PropertyTech, SaaS, VideoTech, eCommerce","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/1121526947698311176/Xx4uizHc_400x400.png
691,RRE Ventures,Venture Capital,New York,USA,SaaS,"Series A, Series B",https://pbs.twimg.com/profile_images/1180234794010988544/kZ3-m7Xi_400x400.jpg
692,RTP Global,Venture Capital,London,United Kingdom,"Data, SaaS","Series A, Series B",
693,Runa Capital,Venture Capital,Palo Alto,USA,FinTech,Series B,https://pbs.twimg.com/profile_images/1019162660934422530/CNEO_URc_400x400.jpg
694,Rus Newton,Angel,Jersey,,CryptoCurrency,Seed,https://pbs.twimg.com/profile_images/1370371714853572609/vwm6sbC3_400x400.jpg
695,Russell Verbeeten,,Toronto,Canada,Blockchain,Seed,
696,Russell Wilson,,Brisbane,Australia,FinTech,,
697,Ryan Holmes,,Vancouver,Canada,"FinTech, MarTech",Seed,https://pbs.twimg.com/profile_images/1405238589735116801/gQHCYLI3_400x400.jpg
698,Ryerson University,,Toronto,Canada,HealthTech,Pre-Seed,
699,S&P Global,,New York,USA,Data,Series A,
700,S2G Ventures,Venture Capital,Chicago,USA,AgTech,"Seed, Series B, Series C",https://pbs.twimg.com/profile_images/1295371695784636421/rTXRvCKA_400x400.jpg
701,S3 Ventures,Venture Capital,Austin,USA,CyberSecurity,Series B,https://pbs.twimg.com/profile_images/1191769874714046468/GNkOnX4q_400x400.jpg
702,Sage Group,,Newcastle Upon Tyne,United Kingdom,FinTech,Series C,
703,Salesforce Ventures,,San Francisco,USA,"3DTech, AI, EdTech, HealthTech, SaaS","Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1268214902348369920/erUmIyvg_400x400.png
704,Samsara BioCapital,Venture Capital,Palo Alto,USA,BioTech,Series A,
705,Samsung Ventures,,Seoul,South Korea,"Blockchain, FinTech",Series B,https://pbs.twimg.com/profile_images/1316531357053452288/SnV-WnZs_400x400.png
706,Sands Capital Ventures,,,USA,SaaS,Series A,
707,Sanja Fidler,,Toronto,Canada,AutoTech,Series A,
708,Satish Kanwar,,Toronto,Canada,"EdTech, FinTech",Seed,https://pbs.twimg.com/profile_images/1346186977947901956/oT5jx9jP_400x400.jpg
709,Scalar Capital,,San Francisco,USA,FinTech,Series A,
710,ScaleUP Ventures,,Toronto,Canada,"AI, Analytics, Data, HealthTech, LogisticsTech, Marketplace, SaaS","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/860895021230424065/-eSw9hkQ_400x400.jpg
711,Scout Ventures,,Austin,USA,Quantum,Seed,https://pbs.twimg.com/profile_images/344513261577736980/d4ee0373f361301473ede99e103c9492_400x400.png
712,SEI Ventures,Venture Capital,Washington,USA,EdTech,Seed,https://pbs.twimg.com/profile_images/1039531720343662593/xXU_vCc3_400x400.jpg
713,Sensata Technologies,,Attleboro,USA,"Analytics, CleanTech",Series A,
714,Sequoia Capital China,Venture Capital,Beijing,China,eCommerce,,
715,Sergio A. Escobar,,Montréal,Canada,LegalTech,Series A,https://pbs.twimg.com/profile_images/1072641080372412416/q5V7bunl_400x400.jpg
716,SET Ventures,Venture Capital,Amsterdam,The Netherlands,CleanTech,Series E,https://pbs.twimg.com/profile_images/948914059973398529/XmJXoYam_400x400.jpg
717,Shadow Ventures,Venture Capital,Atlanta,USA,PropertyTech,Series A,https://pbs.twimg.com/profile_images/1323289314885804038/Hnja_ChB_400x400.jpg
718,Shanda Group,,Menlo Park,USA,AI,Pre-Seed,https://pbs.twimg.com/profile_images/1230628742835380226/1dOiP9E2_400x400.jpg
719,Shell Ventures,,Rijswijk,The Netherlands,CleanTech,,
720,Shopify,,Ottawa,Canada,"FinTech, eCommerce","Series A, Series C",
721,Side Door Ventures,Venture Capital,San Francisco,USA,"BioTech, Consumer, InsurTech, SaaS","Pre-Seed, Series A",
722,Silicon Valley Bank,,Santa Clara,USA,"FinTech, Quantum, SaaS, Wearables","Seed, Series A, Series B",
723,Silversmith Capital Partners,,Boston,USA,SaaS,,
724,Sino Global Capital,Venture Capital,Beijing,China,"Cryptocurrency, FinTech",Series A,https://pbs.twimg.com/profile_images/1429675053105483777/L0AfCF-Y_400x400.png
725,Sixty Degree Capital,Venture Capital,Toronto,Canada,"Analytics, BioTech",Series C,
726,Slack Fund,,Daly City,USA,"CyberSecurity, SaaS","Seed, Series A",
727,SmartHub,Venture Capital,San Francisco,USA,AutoTech,Series A,
728,Sofinnova Partners,Venture Capital,Paris,France,"AgTech, GreenTech","Series B, Series C",https://pbs.twimg.com/profile_images/702070866402746368/12PoFo1t_400x400.png
729,Sofreh Capital,,Miami,USA,AI,Seed,
730,Sol Global investments,,Calgary,Canada,AutoTech,Series A,https://pbs.twimg.com/profile_images/1392244714234122242/cRcHeufx_400x400.jpg
731,Somel Investments,,Quebec,Canada,AI,Seed,
732,Sorenson Capital,"Private Equity Firm, Venture Capital",Lehi,USA,"Analytics, Platform","Series B, Series E",https://pbs.twimg.com/profile_images/1316205319349891072/sm1UfVXb_400x400.jpg
733,SOSV,"Accelerator, Micro VC, Venture Capital",Princeton,USA,"AgTech, BioTech, FinTech, FoodTech, Hardware, HealthTech, Marketplace, PropertyTech, Robotics, TransportationTech","Pre-Seed, Seed, Series B, Series D",https://pbs.twimg.com/profile_images/1348686746767269902/CvkiN0dM_400x400.jpg
734,Soul Foods Group,,Rickmansworth,United Kingdom,Platform,Seed,
735,Sound Ventures,Venture Capital,Beverly Hills,USA,"AI, Blockchain, CyberSecurity, FinTech","Seed, Series A, Series B, Series C",https://pbs.twimg.com/profile_images/972234378419015682/Fh98E_8E_400x400.jpg
736,SP Ventures,,Pinheiros,Brazil,agTech,,https://pbs.twimg.com/profile_images/597457894/7318_263538575205_620920205_8613382_4218462_n_400x400.jpg
737,Space Capital,Venture Capital,New York,USA,"Analytics, Data",Series B,https://pbs.twimg.com/profile_images/1249794900033495041/zEu0uf9N_400x400.jpg
738,Spark Capital,Venture Capital,San Francisco,USA,AI,"Series B, Series C",https://pbs.twimg.com/profile_images/1306362603438915584/_wEyD2xR_400x400.jpg
739,SparkLabs Taipei,"Accelerator, Venture Capital",Taipei,Taiwan,InsurTech,,https://pbs.twimg.com/profile_images/1197450272236158976/tNXayuGB_400x400.jpg
740,Spencer Dinwiddie,,Brooklyn,USA,Blockchain,"Series B, Series C",https://pbs.twimg.com/profile_images/1445110279520587781/vwih4vhO_400x400.jpg
741,Spring Mountain Capital,"Private Equity Firm, Venture Capital",New York,USA,Robotis,Series B,
742,Sprout BioVentures,Venture Capital,,USA,BioTech,"Seed, Series A",
743,Sprout Fund LP,Venture Capital,Edmonton,Canada,GeoTech,Seed,
744,Stagecoach Partners,,Chicago,USA,FinTech,Pre-Seed,
745,StakeWith.Us,,Singapore,Singapore,CryptoCurrency,,
746,StandUp Ventures,,Toronto,Canada,"AI, BioTech, Data, EdTech, HealthTech, MarTech, Marketplace, SaaS","Seed, Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1022926561547362306/VehR_fkJ_400x400.jpg
747,Stanford Law School,,Stanford,USA,HealthTech,Series A,
748,Stani Kulechov,,Como,Italy,FinTech,Series A,https://pbs.twimg.com/profile_images/1471582090298802182/zdByRmVd_400x400.jpg
749,STANLEY +Techstars AI in Advanced Manufacturing,Accelerator,Hartford,USA,SaaS,Seed,
751,Startup Capital Ventures,,Menlo Park,USA,CyberSecurity,Series B,https://pbs.twimg.com/profile_images/413944300485877760/r__FuoAk_400x400.png
752,Steve Arless,,Baie-d'urfe,Canada,HealthTech,Seed,https://pbs.twimg.com/profile_images/2559061599/image_400x400.jpg
753,Steven Albiani,Angel,,,EdTech,Seed,
754,Stout Street Capital,"Micro VC, Venture Capital",Denver,USA,HealthTech,"Seed, Series A",
755,Strada Education Network,,Indianapolis,USA,EdTech,Seed,
756,Strategic Equities,,New York,USA,LegalTech,Series A,
757,Strategic Equities Group,,Calgary,Canada,FinTech,Pre-Seed,
758,Stronghold Resource Partners,,Texas,USA,Analytics,Series A,
759,Struck Capital,Venture Capital,Santa Monica,USA,"HRTech, eCommerce",Series A,
760,Stuart MacDonald,,Toronto,Canada,SaaS,,
761,Summit Partners,,Boston,USA,Analytics,Series E,https://pbs.twimg.com/profile_images/438756755397300224/kp8rmJes_400x400.jpeg
762,Suncor Energy,,Calgary,Canada,CleanTech,Series D,
763,Sunhope Capital,Venture Capital,San Jose,USA,HealthTech,Pre-Seed,
764,Susa Ventures,"Micro VC, Venture Capital",San Francisco,USA,FinTech,"Seed, Series A",https://pbs.twimg.com/profile_images/1143299874030407681/t3TZUicM_400x400.png
765,Susquehanna Growth Equity,,Philadelphia,USA,FinTech,"Series A, Series B",https://pbs.twimg.com/profile_images/1196420143733235712/rD_m6Jdz_400x400.jpg
766,Sustainable Development Technology Canada,"Government Office, Venture Capital",Ottawa,Canada,"Analytics, BioTech, CleanTech, NanoTech, PropertyTech, SaaS, TransportationTech, agTech","Grant, Pre-Seed, Seed",
767,SV Angel,,San Francisco,USA,AI,Series A,https://pbs.twimg.com/profile_images/1002291177763225600/RPqOsech_400x400.jpg
768,T. Rowe Price,,Baltimore,USA,SaaS,Series E,https://pbs.twimg.com/profile_images/582530953068748800/iT50Tyny_400x400.png
769,Tactico,Venture Capital,Montréal,Canada,"FinTech, LegalTech","Seed, Series A",
770,Tam Holdings,"Private Equity Firm, Venture Capital",San Francisco,USA,Analytics,,
771,Tarun Sachdeva,Angel,Canada,Canada,EdTech,Seed,https://pbs.twimg.com/profile_images/1437968136117137411/Hus0lQOB_400x400.jpg
772,Taubman Capital,,New York,USA,Analytics,,
773,TCV,,Menlo Park,USA,SaaS,Series D,https://pbs.twimg.com/profile_images/1412902613868179459/kFdJV2HF_400x400.jpg
774,Techstars,"Accelerator, Venture Capital",Boulder,USA,"AI, AR, AgTech, Analytics, BioTech, CleanTech, CyberSecurity, DevTech, EdTech, FinTech, Hardware, HealthTech, MarTech, Marketplace, Misc, PropertyTech, SaaS, TransportationTech, TravelTech","Pre-Seed, Seed, Series A",https://pbs.twimg.com/profile_images/1238215994918699009/20iXbanG_400x400.png
775,Techstars Energy Accelerator in Partnership with Equinor,Accelerator,Oslo,Norway,CleanTech,Pre-Seed,
776,Techstars Seattle Accelerator,Accelerator,Seattle,USA,EdTech,Pre-Seed,
777,Techstars Toronto Accelerator,Accelerator,Toronto,Canada,"Analytics,ArtificialIntelligence,FinTech,HealthTech,Marketplace,PropertyTech,TransportationTech,TravelTech",Pre-Seed,
778,Telegraph Hill Capital,Venture Capital,San Francisco,USA,"RetailTech, SaaS, eCommerce",Seed,https://pbs.twimg.com/profile_images/479965987391819776/rDXRHAkV_400x400.jpeg
779,Telstra Ventures,Venture Capital,San Francisco,USA,eCommerce,Series B,https://pbs.twimg.com/profile_images/1455951982364139522/I8zf3Wtz_400x400.jpg
780,TELUS Ventures,,Vancouver,Canada,"AgTech, Analytics, BioTech, FinTech, HealthTech, Platform","Pre-Seed, Seed, Series B, Series C",https://pbs.twimg.com/profile_images/1442566283908820993/sToAkRGN_400x400.jpg
781,Temasek Holdings,,Singapore,Singapore,CleanTech,"Series D, Series E",https://pbs.twimg.com/profile_images/617977683780112384/JAICZY_m_400x400.jpg
782,Tensility Venture Partners,Venture Capital,Chicago,USA,Quantum,Seed,https://pbs.twimg.com/profile_images/1170003714373017602/AfAjPscj_400x400.png
783,Thaddeus Young,Angel,,,"Blockchain, MarTech","Seed, Series C",
784,Thayer Ventures,Venture Capital,San Francisco,USA,eCommerce,Series B,
785,The 51 Ventures,Venture Capital,Calgary,Canada,"MarTech, Marketplace, NanoTech","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/1107346801785368576/5d3SKsUY_400x400.png
786,The Atmospheric Fund (TAF),,Toronto,Canada,CleanTech,Series A,
787,The David Slabodkin Family Trust,Family Office,,Canada,SaaS,,
788,The Graph,,San Francisco,USA,Blockchain,Grant,
789,The LAO,Venture Capital,,Germany,FinTech,Series A,https://pbs.twimg.com/profile_images/1167606228228423680/7H9uAs6S_400x400.jpg
790,The Roda Group,Venture Capital,Berkeley,USA,CleanTech,Series D,
791,The Spartan Group,Venture Capital,Singapore,Singapore,FinTech,Series A,https://pbs.twimg.com/profile_images/1057198687749726210/nP7ffwjE_400x400.jpg
792,Theodorus III,Venture Capital,,Belgium,BioTech,Seed,
793,Thin Air Labs,Venture Capital,Calgary,Canada,"HealthTech, LegalTech","Seed, Series A",https://pbs.twimg.com/profile_images/1321858705055383552/vezFX9F4_400x400.jpg
794,Think + Ventures,,Palo Alto,USA,"PropertyTech, SaaS","Series A, Series B",
795,Thomvest Ventures,Venture Capital,San Francisco,USA,FinTech,Series A,https://pbs.twimg.com/profile_images/2415919875/w7tpwglu09eps0imhofx_400x400.jpeg
796,Three Arrows Capital,,Singapore,Singapore,Blockchain,Seed,
797,Threshold,Venture Capital,Menlo Park,USA,SaaS,Seed,https://pbs.twimg.com/profile_images/1152350362721902592/yko9BZOn_400x400.jpg
798,Thuja Capital,,Utrecht,The Netherlands,FitnessTech,Seed,
799,TI Platform Management,,San Francisco,USA,LogisticsTech,Seed,
800,Tiger Global Management,"Hedge Fund, Private Equity Firm, Venture Capital",New York,USA,"AI, HRTech, SaaS","Seed, Series B, Series C",
801,Tightline Holdings,,,Cyprus,CyberSecurity,Series B,
802,Tim Draper,,San Francisco,USA,"AI, Quantum","Series A, Series B",https://pbs.twimg.com/profile_images/712463875975680000/yUVhpujj_400x400.jpg
803,Tobias Lütke,,Ottawa,Canada,"3DTech, CyberSecurity, FinTech, SaaS","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/1470544860889423874/kYRN_11h_400x400.jpg
804,Tokio Marine,,Houston,USA,SaaS,Series B,
805,Tom Williams,,San Francisco,USA,"BioTech, FinTech, SaaS","Seed, Series A",https://pbs.twimg.com/profile_images/1269801210527256577/tMejrL62_400x400.jpg
806,Touchdown Ventures,,Haddonfield,USA,LegalTech,Series A,https://pbs.twimg.com/profile_images/1009471125741420545/kGOYYVdJ_400x400.jpg
807,Toyota Ventures,Venture Capital,Los Altos,USA,"FoodTech, SaaS",Seed,https://pbs.twimg.com/profile_images/884482454907518980/umcPnprH_400x400.jpg
808,TPG Growth,,San Francisco,USA,EdTech,Series B,
809,Tribe Capital,Venture Capital,Menlo Park,USA,"HRTech, InsurTech, PropertyTech, SaaS, SpaceTech","Seed, Series A, Series B",
810,Tribune Capital,Venture Capital,Weyburn,Canada,FinTech,Pre-Seed,
811,TRISURA,,Toronto,Canada,FinTech,Series A,
812,Tritium Partners,,Austin,USA,Marketplace,Series A,
813,Trucks Venture Capital,"Micro VC, Venture Capital",San Francisco,USA,"AI, eCommerce","Series A, Series B",https://pbs.twimg.com/profile_images/883143859449995264/elMeuwDM_400x400.jpg
814,True Ventures,Venture Capital,Palo Alto,USA,"AI, BioTech, Robotics, SaaS","Series A, Series B, Series C",https://pbs.twimg.com/profile_images/1127226325423599617/WEY2l7b__400x400.png
815,TSVC,,Los Altos,USA,"SaaS, Software",Seed,https://pbs.twimg.com/profile_images/1263874692026257408/oxkZSh09_400x400.png
816,TTV Capital,Venture Capital,Atlanta,USA,FinTech,Series C,
817,TVM Capital Life Science,Venture Capital,Munich,Germany,HealthTech,Series C,https://pbs.twimg.com/profile_images/1090184152157249537/xKxhSBln_400x400.jpg
818,Two Small Fish Ventures,Venture Capital,Toronto,Canada,"AI, Blockchain, Data, EdTech, Platform","Pre-Seed, Seed",
819,UBC Seed Fund,Venture Capital,,Canada,GeoTech,Seed,
820,Uber,,San Francisco,USA,AutoTech,Series A,
821,Udtara Ventures,,New Delhi,India,AI,Seed,
822,Ulta Beauty,,Bolingbrook,USA,AI,Series A,https://pbs.twimg.com/profile_images/666388171677155328/nkJUD0hH_400x400.jpg
823,Uncork Capital,Venture Capital,San Francisco,USA,"AI, CyberSecurity, HRTech","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/927873093405622272/hjhjrYtM_400x400.jpg
824,Uncorrelated Ventures,Venture Capital,San Francisco,USA,CyberSecurity,Series B,
825,Union Square Ventures,Venture Capital,New York,USA,"Blockchain, EdTech","Series B, Series D",https://pbs.twimg.com/profile_images/1172542516874350593/Q1AkQndR_400x400.jpg
826,Union Tech Ventures,,Tel Aviv,Israel,Marketplace,Series B,
827,Union Ventures,,,United Kingdom,"Data, HealthTech","Series A, Series B",
828,Uphill Capital,,,Hong Kong,FoodTech,Seed,
