id,companyName,ecosystemName,ecosystemSecondary,dateFounded,primaryTag,secondaryTag,latestRoundType,latestRoundDate,dateAcqusition,acquiringCompany,ipoDate,peDate,deadFlag,logoUrlCdn
436,ODS Medical,Quebec,Montreal,2015-01-01,HealthTech,AI,Series ?,2020-09-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/436.png
437,Odyssey,Waterloo Region,,2020-01-01,Games,,Seed,2020-04-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/437.png
438,Olive,British Columbia,,2018-04-20,SaaS,AI,Seed,2022-04-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/438.png
439,Omnie Integrated Services,British Columbia,,2021-01-01,SaaS,B2C,Pre-Seed,2021-01-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/439.png
440,OmniPly Technology,Quebec,Montreal,2018-01-01,CleanTech,Electronics,Seed,2020-07-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/440.png
441,Omnirobotic,Quebec,Montreal,2016-06-01,Robotics,,Seed,2020-09-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/441.png
442,OnCall Health,Toronto,,2016-03-09,HealthTech,HealthTech,Series A,2020-09-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/442.png
443,Ondine Biomedical,British Columbia,,1997-01-01,BioTech,,Series ?,2020-05-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/443.png
445,OneFeather Mobile,British Columbia,,2014-02-01,FinTech,Payments,Seed,2020-07-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/445.png
446,Onshare,British Columbia,,0000-00-00,SaaS,,Series ?,2020-03-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/446.png
447,Ontopical,Alberta,Calgary,2017-10-13,AI,Machine Learning,Seed,2023-09-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/447.png
448,OPA Tech,Quebec,Montreal,2015-07-01,LogisticsTech,,Seed,2020-07-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/448.png
449,Open Screenplay,Toronto,,2017-01-01,Platform,Education,Seed,2021-04-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/449.png
450,Opencare,Toronto,,0000-00-00,AdTech,,Series A,2020-05-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/450.png
451,OpenUnit,Toronto,,2019-01-01,SaaS,,Seed,2021-05-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/451.png
452,Optable,Quebec,Montreal,2020-02-28,SaaS,AdTech,Series A,2025-01-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/452.png
453,Orchid B,Quebec,Montreal,2020-08-19,LegalTech,Accounting,Pre-Seed,2021-02-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/453.png
454,Orennia,Alberta,Calgary,2021-01-01,Analytics,Renewable Energy,Series C,2025-01-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/454.png
455,Orpyx Medical Technologies,Alberta,Calgary,2010-05-17,HealthTech,Diabetes,Series ?,2024-10-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/455.png
456,Osperity,Alberta,Calgary,2012-01-01,Analytics,AI,Series B,2019-12-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/456.png
458,Ossiaco,Quebec,Montreal,0000-00-00,SaaS,,Series A,2020-12-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/458.png
459,Ostara,British Columbia,,2005-01-01,CleanTech,,Series ?,2019-10-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/459.png
460,OverActive Media Group,Toronto,,2018-01-01,eSports,,Series ?,2021-03-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/460.png
461,Owl.co,British Columbia,,2018-08-01,FinTech,InsurTech,Series B,2021-11-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/461.png
462,Oxilia,Quebec,Montreal,2018-07-15,HealthTech,Human Resources,Seed,2020-07-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/462.png
463,OzoneBio,Toronto,,2021-02-18,BioTech,CleanTech,Seed,2021-03-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/463.png
465,Palitronica,Waterloo Region,,2019-01-01,CyberSecurity,,Pre-Seed,2022-03-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/465.png
466,Panthera Dental,Quebec,Montreal,2011-01-01,HealthTech,,Series ?,2020-06-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/466.png
467,Pantonium,Toronto,,0000-00-00,TransportationTech,,Series ?,2020-06-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/467.png
468,Paper,Quebec,Montreal,2014-04-01,EdTech,Education,Series D,2022-02-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/468.png
469,PartnerStack,Toronto,,2015-06-01,SaaS,Enterprise Software,Series B,2021-05-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/469.png
470,Pathway Medical,Quebec,Montreal,2018-01-01,HealthTech,Medical,Seed,2023-11-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/470.png
471,PayShepherd,Alberta,Calgary,2018-01-01,FinTech,Billing,Seed,2024-03-06,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/471.png
472,PDFTron,British Columbia,,1998-01-01,SaaS,,Series ?,2019-05-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/472.png
473,Peak Power,Toronto,,2015-03-03,CleanTech,AI,Series ?,2023-05-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/473.png
474,Peekage,Toronto,,2019-01-01,Analytics,Advertising,Series ?,2020-03-31,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/474.png
475,Periculum,Waterloo Region,,2019-06-18,FinTech,,Pre-Seed,2021-01-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/475.png
476,Phaseshift Technologies,Toronto,,2019-09-01,AI,Advanced Materials,Seed,2024-10-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/476.png
477,Phelix.ai,Toronto,,2017-01-01,AI,HealthTech,Seed,2020-05-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/477.png
478,PHEMI Systems,British Columbia,,2013-01-01,CyberSecurity,,Series ?,2020-07-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/478.png
479,Phenomic,Toronto,,2017-01-01,BioTech,,Seed,2020-10-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/479.png
480,Phycus Biotechnologies,Toronto,,2017-01-01,BioTech,Biomass Energy,Seed,2020-07-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/480.png
481,ResearchAI,Toronto,,2017-09-14,AI,Machine Learning,Pre-Seed,2021-04-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/481.png
482,Pitstop,Toronto,,2015-01-01,Analytics,AI,Seed,2023-04-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/482.png
484,PlasticSpot,British Columbia,,2018-08-01,SaaS,B2B,Seed,2021-01-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/484.png
485,Plooto,Toronto,,2015-01-01,FinTech,Payments,Series B,2022-12-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/485.png
486,Plotly,Quebec,Montreal,2013-08-09,Analytics,AI,Series C,2020-05-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/486.png
487,Plum.io,Waterloo Region,,2012-11-28,HRTech,Enterprise Software,Series ?,2023-02-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/487.png
488,Plural,British Columbia,,2021-01-01,Consumer,,Pre-Seed,2021-01-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/488.png
489,PocketHealth,Toronto,,2016-01-01,HealthTech,Medical,Series B,2024-03-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/489.png
490,PocketPills,British Columbia,,2018-01-01,HealthTech,Medical,Series B,2021-03-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/490.png
491,POTLOC,Quebec,Montreal,2014-03-01,MarTech,Consumer Research,Series B,2022-06-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/491.png
492,Powerside,Toronto,,1948-01-01,Analytics,SaaS,Series ?,2020-12-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/492.png
493,Praemo,Waterloo Region,,2017-01-01,AI,,Series ?,2020-08-06,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/493.png
494,Precision Nanosystems,British Columbia,,2010-01-01,BioTech,,Series ?,2019-10-31,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/494.png
495,Precision OS,British Columbia,,2017-01-01,HealthTech,,Series ?,2021-01-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/495.png
496,PreVu3D,Quebec,Montreal,2017-12-07,3DTech,3DTech,Series A,2023-02-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/496.png
497,Procurify,British Columbia,,2012-09-01,FinTech,Cloud Computing,Series ?,2024-10-31,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/497.png
498,Prodigy Education,Toronto,,2011-06-24,EdTech,,Series B,2021-01-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/498.png
499,ProNavigator,Waterloo Region,,2016-01-01,InsurTech,,Series ?,2022-09-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/499.png
500,Properly,Toronto,,2018-01-01,PropertyTech,Marketplace,Series B,2022-08-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/500.png
501,Proton Technologies,Alberta,Calgary,2015-01-01,CleanTech,,Series ?,2021-01-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/501.png
502,Province Apothecary,Toronto,,2016-09-29,eCommerce,,Series ?,2020-10-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/502.png
503,Provision Analytics,Alberta,Calgary,2018-05-11,Analytics,Food Safety,Series A,2022-01-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/503.png
504,PsiloTec,Alberta,Calgary,2020-01-01,BioTech,Neuroscience,Seed,2021-02-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/504.png
505,PureFacts Financial,Toronto,,2010-01-01,FinTech,Billing,Series ?,2021-12-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/505.png
506,Pyrowave,Quebec,Montreal,2014-01-01,GreenTech,Chemical,Series B,2020-04-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/506.png
507,QD Solar,Toronto,,2014-03-01,NanoTech,,Series ?,2021-02-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/507.png
508,Quebe Technologies,Alberta,Calgary,0000-00-00,CleanTech,,Series ?,2020-06-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/508.png
509,QuoteMachine,Quebec,Montreal,2018-05-01,Marketplace,eCommerce,Seed,2023-10-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/509.png
511,Radiant Biotherapeutics,Toronto,,0000-00-00,BioTech,,Seed,2020-12-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/511.png
512,Railz,Toronto,,2020-04-09,FinTech,,Series A,2021-05-06,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/512.png
513,Rapid Novor,Waterloo Region,,2015-01-01,BioTech,HealthTech,Series A,2020-07-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/513.png
514,Rebelstork,Toronto,,2019-01-01,Marketplace,eCommerce,Series A,2024-09-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/514.png
515,Recover Energy Services,Alberta,Calgary,2008-01-01,GreenTech,,Series ?,2019-06-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/515.png
516,Reebee,Waterloo Region,,2012-01-01,AdTech,,Series ?,2019-08-09,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/516.png
517,Relay Platform,Toronto,,2019-04-09,Platform,Insurance,Series A,2021-05-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/517.png
518,Renaissance,British Columbia,,2020-01-01,Platform,Mobile,Pre-Seed,2021-05-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/518.png
519,Renos,Toronto,,2021-01-01,SaaS,,Pre-Seed,2021-01-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/519.png
520,Repare Therapeutics,Quebec,Montreal,2016-01-01,BioTech,,Series ?,2020-12-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/520.png
521,ResolvMD,Alberta,Calgary,0000-00-00,HealthTech,,Series ?,2020-05-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/521.png
522,Resq,Toronto,,2018-01-01,Platform,Mobile,Series A,2021-10-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/522.png
523,Ribbit,Toronto,,2020-01-01,Aerospace,Autonomous Vehicles,Pre-Seed,2021-02-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/523.png
524,Riipen,British Columbia,,2014-01-01,EdTech,Education,Seed,2019-12-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/524.png
525,Rithmik Solutions,Quebec,Montreal,2017-01-01,Analytics,,Series ?,2024-03-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/525.png
526,Ritual,Toronto,,2014-01-01,Marketplace,LogisticsTech,Series C,2020-06-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/526.png
527,Rival Technologies,British Columbia,,2018-01-01,MarTech,,Series A,2019-07-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/527.png
528,RNA Dx,Toronto,,2010-01-01,HealthTech,,Series ?,2020-04-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/528.png
529,Rocket Doctor,Toronto,,2020-03-01,HealthTech,Marketplace,Seed,2021-05-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/529.png
530,RockMass Technologies,Toronto,,2016-05-09,Hardware,3DTech,Seed,2020-12-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/530.png
531,Roll,Toronto,,2019-03-25,TransportationTech,Automotive,Pre-Seed,2021-04-05,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/531.png
532,Roomvu,British Columbia,,2017-05-01,AdTech,Advertising,Pre-Seed,2019-01-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/532.png
533,Rose Rocket,Toronto,,2015-11-27,LogisticsTech,SaaS,Series B,2023-06-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/533.png
534,Rotoliptic Technologies,British Columbia,,2011-01-01,CleanTech,,Series A,2020-12-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/534.png
535,RouteThis,Waterloo Region,,2013-01-01,Networks,,Series A,2022-02-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/535.png
536,Salesfloor,Quebec,Montreal,2013-01-01,eCommerce,Mobile,Series B,2021-06-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/536.png
537,Salus Pro,British Columbia,,2016-01-01,SaaS,,Seed,2020-11-18,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/537.png
538,Sampler,Toronto,,2013-10-15,Marketplace,Advertising,Series B,2020-07-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/538.png
540,SannTek,Waterloo Region,,0000-00-00,NanoTech,,Seed,2019-08-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/540.png
541,Satellite Farms,Toronto,,0000-00-00,AgTech,,Grant,2021-05-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/541.png
542,Satellos Bioscience,Toronto,,0000-00-00,Pharmaceuticals,,Grant,2021-01-19,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/542.png
543,Satstreet,Toronto,,2019-10-15,FinTech,Bitcoin,Seed,2020-08-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/543.png
544,SBX Robotics,Toronto,,2020-01-01,Robotics,Computer Vision,Pre-Seed,2021-03-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/544.png
545,Seamless Mobile Health,Toronto,,0000-00-00,HealthTech,,Series A,2020-08-26,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/545.png
546,SeeO2 Energy,Alberta,Calgary,2018-01-01,CleanTech,Chemical,Seed,2020-07-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/546.png
547,Segra International,British Columbia,,2014-01-01,BioTech,,Series ?,2021-04-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/547.png
548,SemaThera,Quebec,Montreal,2016-01-01,HealthTech,,Seed,2020-02-03,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/548.png
551,Sensei Labs,Toronto,,2015-01-01,SaaS,Enterprise Software,Series A,2021-01-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/551.png
552,SensorSuite,Toronto,,2012-06-07,Hardware,Analytics,Series ?,2020-04-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/552.png
553,SensorUp,Alberta,Calgary,2011-12-01,iOT,Application Performance Manage,Series B,2023-07-31,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/553.png
554,Sherpa,Toronto,,2015-01-01,TravelTech,,Series ?,2021-04-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/554.png
555,Valence,Toronto,,2017-01-01,SaaS,,Seed,2019-12-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/555.png
556,TryShift,British Columbia,,2017-11-02,SaaS,Productivity Tools,,0000-00-00,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/556.png
557,ShipSwyft,Toronto,,0000-00-00,SaaS,,Seed,2020-07-14,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/557.png
558,Shipvista.com,Toronto,,2018-01-01,eCommerce,B2B,Seed,2021-02-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/558.png
559,Shopistry,Toronto,,2019-01-01,eCommerce,,Seed,2021-08-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/559.png
560,SideDrawer,Toronto,,2018-10-01,SaaS,,Series ?,2021-03-05,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/560.png
561,Silofit Enterprises,Quebec,Montreal,2017-11-13,HealthTech,,Seed,2020-11-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/561.png
562,SiMBi,British Columbia,,2017-01-01,EdTech,eLearning,Pre-Seed,2020-02-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/562.png
563,Simplicity Global Solutions,Alberta,Calgary,2018-01-01,FinTech,Mortgage,Series A,2020-09-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/563.png
564,Simply Benefits,British Columbia,,2006-01-01,InsurTech,,Seed,2020-01-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/564.png
565,SiteVue,Waterloo Region,,2016-01-01,SaaS,Mobile,Series ?,2019-03-27,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/565.png
566,Sitka Biopharma,British Columbia,,2013-01-01,BioTech,,Series ?,2019-02-11,0000-00-00,,0000-00-00,0000-00-00,1,https://cdn.briefed.in/companies/566.png
568,Sixth Wave Innovations,British Columbia,,2013-07-01,HealthTech,,Series ?,2021-01-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/568.png
569,Skritswap,Waterloo Region,,2015-01-01,iOT,,Series ?,2019-05-30,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/569.png
570,Skygauge,Toronto,,2016-01-01,Robotics,Aerospace,Seed,2020-12-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/570.png
571,SkyHive,British Columbia,,2017-01-01,SaaS,Analytics,Series B,2021-10-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/571.png
572,SkyWatch,Waterloo Region,,2014-08-29,Data,Cloud Computing,Series B,2021-06-15,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/572.png
573,SmoothHiring,Toronto,,0000-00-00,HRTech,Recruiting,Series ?,2020-08-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/573.png
574,Snack App,British Columbia,,2020-03-01,Consumer,Mobile,Pre-Seed,2021-02-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/574.png
575,Snapcommerce,Toronto,,2016-01-01,eCommerce,Hotel,Series B,2021-03-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/575.png
576,Solar Stream Green Energy Group,Alberta,Calgary,2019-01-01,GreenTech,,Pre-Seed,2020-11-25,0000-00-00,,0000-00-00,0000-00-00,1,https://cdn.briefed.in/companies/576.png
577,SoleSavy,British Columbia,,2018-09-01,Marketplace,,Series A,2021-06-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/577.png
578,Sollum Technologies,Quebec,Montreal,2015-01-01,AgTech,,Series ?,2023-01-17,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/578.png
579,Solv3D,Alberta,Calgary,2013-05-01,GeoTech,Geospatial,Series ?,2019-03-04,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/579.png
580,Sonder,Quebec,Montreal,2012-01-01,TravelTech,Hospitality,Series E,2020-06-24,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/580.png
581,Sonic Incytes,British Columbia,,2016-01-01,HealthTech,Hardware,Series A,2021-12-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/581.png
582,Sourced Group Worldwide,Toronto,,2010-06-01,Platform,,Series ?,2020-10-21,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/582.png
583,Spaceful,Quebec,Montreal,2016-08-04,LogisticsTech,Logistics,Seed,2021-02-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/583.png
584,Spare,British Columbia,,2015-11-03,SaaS,Mobile,Series B,2024-09-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/584.png
585,Spark Microsystems,Quebec,Montreal,2012-03-15,Hardware,iOT,Series B,2023-03-16,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/585.png
586,SpikeFli Analytics,Alberta,Calgary,2015-10-15,SaaS,,Series ?,2021-06-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/586.png
587,Spocket,British Columbia,,2017-06-20,eCommerce,,Series B,2019-05-07,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/587.png
588,SportlogiQ,Quebec,Montreal,2013-01-01,Analytics,,Series ?,2020-12-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/588.png
589,Sports IQ Analytics,British Columbia,,2018-01-01,AI,Machine Learning,Seed,2021-05-12,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/589.png
590,SQI Diagnostics,Toronto,,0000-00-00,BioTech,,Grant,2021-04-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/590.png
591,SquareFeet.ai,Quebec,Montreal,2020-06-22,SaaS,Real Estate,Pre-Seed,2021-04-13,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/591.png
592,SSENSE,Quebec,Montreal,2003-01-01,eCommerce,,Series ?,2021-06-08,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/592.png
593,Stabilo Medical,Waterloo Region,,2018-01-01,Wearables,HealthTech,Pre-Seed,2019-06-28,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/593.png
594,Stacksi,Alberta,Calgary,2020-09-23,SaaS,,Seed,2021-04-22,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/594.png
595,Stacktronic,Waterloo Region,,0000-00-00,CleanTech,,Series ?,2019-09-20,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/595.png
596,Stan A.I.,Toronto,,0000-00-00,PropertyTech,,Series ?,2020-06-11,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/596.png
597,Statflo,Toronto,,2012-10-09,RetailTech,,Series ?,2020-07-23,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/597.png
598,Stay22,Quebec,Montreal,2016-10-12,eCommerce,Events,Seed,2020-03-01,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/598.png
599,StellarAlgo,Alberta,Calgary,2016-08-08,SportsTech,,Series A,2021-11-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/599.png
600,Stoko design,British Columbia,,2017-01-01,FitnessTech,HealthTech,Seed,2021-05-10,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/600.png
601,Storeo,Toronto,,2019-12-26,Marketplace,P2P,Pre-Seed,2021-02-05,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/601.png
602,StrategyBox,British Columbia,,2015-01-01,MarTech,Advertising,Seed,2020-06-29,0000-00-00,,0000-00-00,0000-00-00,0,https://cdn.briefed.in/companies/602.png
